Date : 2024-07-28 15:46:46
Directory : c:\Users\admin\source\repos\Silerium_laravel
Total : 219 files,  20092 codes, 1564 comments, 980 blanks, all 22636 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     13,106 |          0 |          5 |     13,111 |
| PHP        |        200 |      6,453 |      1,539 |        937 |      8,929 |
| SQL        |          1 |        277 |          0 |          3 |        280 |
| JavaScript |          6 |        133 |         23 |         15 |        171 |
| CSS        |          3 |         75 |          2 |         17 |         94 |
| XML        |          1 |         31 |          0 |          1 |         32 |
| Properties |          1 |          9 |          0 |          0 |          9 |
| Ini        |          1 |          6 |          0 |          1 |          7 |
| Markdown   |          1 |          2 |          0 |          1 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        219 |     20,092 |      1,564 |        980 |     22,636 |
| . (Files)                                                                                                |         10 |     13,076 |          0 |         12 |     13,088 |
| .osp                                                                                                     |          2 |         15 |          0 |          1 |         16 |
| .osp (Files)                                                                                             |          1 |          6 |          0 |          1 |          7 |
| .osp\Apache                                                                                              |          1 |          9 |          0 |          0 |          9 |
| app                                                                                                      |        106 |      2,451 |        544 |        455 |      3,450 |
| app\ApiFilters                                                                                           |          2 |         53 |          0 |         12 |         65 |
| app\ApiFilters (Files)                                                                                   |          1 |          9 |          0 |          4 |         13 |
| app\ApiFilters\V1                                                                                        |          1 |         44 |          0 |          8 |         52 |
| app\Console                                                                                              |          1 |         15 |         12 |          6 |         33 |
| app\Enum                                                                                                 |          4 |         43 |          0 |          4 |         47 |
| app\Exceptions                                                                                           |          1 |         21 |         23 |          7 |         51 |
| app\Facades                                                                                              |         11 |        110 |          0 |         33 |        143 |
| app\Http                                                                                                 |         38 |      1,085 |        223 |        177 |      1,485 |
| app\Http (Files)                                                                                         |          1 |         41 |         21 |          7 |         69 |
| app\Http\Controllers                                                                                     |         19 |        792 |         72 |         92 |        956 |
| app\Http\Controllers (Files)                                                                             |          3 |         30 |          0 |         12 |         42 |
| app\Http\Controllers\API                                                                                 |          5 |        163 |         66 |         30 |        259 |
| app\Http\Controllers\API\V1                                                                              |          5 |        163 |         66 |         30 |        259 |
| app\Http\Controllers\Admin                                                                               |          3 |        188 |          0 |         12 |        200 |
| app\Http\Controllers\Product                                                                             |          2 |         93 |          0 |          7 |        100 |
| app\Http\Controllers\Seller                                                                              |          2 |         29 |          0 |          9 |         38 |
